outcome,body_part,technique,play_type,shot_location_start,player,statsbomb_xg,team
Blocked,Right Foot,Normal,Open Play,"[103.0, 21.0]",Yasir Gharsan Al Shahrani,0.0209133,Saudi Arabia
Blocked,Right Foot,Normal,Open Play,"[111.0, 52.0]",Aleksandr Samedov,0.0399769,Russia
Blocked,Left Foot,Normal,Open Play,"[107.0, 26.0]",Yuri Zhirkov,0.0351231,Russia
Blocked,Right Foot,Normal,Open Play,"[106.0, 49.0]",Alan Dzagoev,0.0541708,Russia
Goal,Head,Normal,Open Play,"[112.0, 47.0]",Yury Gazinskiy,0.162801,Russia
Blocked,Left Foot,Normal,Open Play,"[103.0, 29.0]",Mohammad Ibrahim Al Sahlawi,0.0280288,Saudi Arabia
Off T,Right Foot,Normal,Open Play,"[92.0, 39.0]",Salem Mohammed Al Dawsari,0.0231125,Saudi Arabia
Off T,Head,Normal,Open Play,"[110.0, 42.0]",Yasir Gharsan Al Shahrani,0.0910221,Saudi Arabia
Goal,Left Foot,Normal,Open Play,"[110.0, 34.0]",Denis Cheryshev,0.241841,Russia
Off T,Right Foot,Normal,Open Play,"[97.0, 50.0]",Aleksandr Samedov,0.0446115,Russia
Blocked,Left Foot,Normal,Open Play,"[108.0, 24.0]",Denis Cheryshev,0.0260849,Russia
Saved,Head,Normal,Open Play,"[107.0, 39.0]",Denis Cheryshev,0.0693778,Russia
Saved,Right Foot,Normal,Open Play,"[104.0, 56.0]",Roman Zobnin,0.0327927,Russia
Goal,Head,Normal,Open Play,"[115.0, 37.0]",Artem Dzyuba,0.270913,Russia
Off T,Right Foot,Normal,Open Play,"[97.0, 25.0]",Salem Mohammed Al Dawsari,0.0240452,Saudi Arabia
Off T,Head,Normal,Open Play,"[110.0, 42.0]",Roman Zobnin,0.0506675,Russia
Blocked,Left Foot,Normal,Open Play,"[104.0, 57.0]",Hattan Babhir,0.0223657,Saudi Arabia
Off T,Right Foot,Normal,Open Play,"[86.0, 38.0]",Daler Kuzyaev,0.0300681,Russia
Goal,Left Foot,Normal,Open Play,"[104.0, 23.0]",Denis Cheryshev,0.0225671,Russia
Goal,Right Foot,Normal,Free Kick,"[99.0, 52.0]",Aleksandr Golovin,0.0781723,Russia
Blocked,Right Foot,Normal,Open Play,"[89.0, 40.0]",Alex Iwobi,0.00949964,Nigeria
Off T,Right Foot,Normal,Open Play,"[99.0, 46.0]",Ivan Perišić,0.0606888,Croatia
Off T,Right Foot,Normal,Open Play,"[86.0, 35.0]",Andrej Kramarić,0.0152538,Croatia
Blocked,Right Foot,Normal,Open Play,"[109.0, 59.0]",Odion Jude Ighalo,0.0200827,Nigeria
Off T,Right Foot,Half Volley,Open Play,"[93.0, 41.0]",Oghenekaro Etebo,0.0195985,Nigeria
Blocked,Right Foot,Normal,Open Play,"[101.0, 23.0]",Ante Rebić,0.024814,Croatia
Blocked,Head,Diving Header,Open Play,"[113.0, 41.0]",Mario Mandžukić,0.189649,Croatia
Blocked,Left Foot,Normal,Open Play,"[106.0, 33.0]",Odion Jude Ighalo,0.167348,Nigeria
Off T,Head,Normal,Open Play,"[107.0, 37.0]",Andrej Kramarić,0.0407487,Croatia
Off T,Right Foot,Normal,Open Play,"[104.0, 59.0]",Šime Vrsaljko,0.0200447,Croatia
Blocked,Right Foot,Half Volley,Open Play,"[104.0, 31.0]",Alex Iwobi,0.026275,Nigeria
Off T,Right Foot,Normal,Open Play,"[91.0, 47.0]",Victor Moses,0.0137879,Nigeria
Off T,Left Foot,Normal,Open Play,"[108.0, 57.0]",Victor Moses,0.021167,Nigeria
Off T,Right Foot,Normal,Open Play,"[88.0, 41.0]",Ivan Rakitić,0.00816236,Croatia
Blocked,Right Foot,Normal,Open Play,"[112.0, 21.0]",Alex Iwobi,0.0316755,Nigeria
Saved,Head,Normal,Open Play,"[108.0, 34.0]",Odion Jude Ighalo,0.0689173,Nigeria
Off T,Head,Normal,Open Play,"[112.0, 44.0]",Mario Mandžukić,0.05841,Croatia
Goal,Right Foot,Normal,Penalty,"[109.0, 41.0]",Luka Modrić,0.76,Croatia
Blocked,Head,Normal,Open Play,"[108.0, 46.0]",Dejan Lovren,0.0242341,Croatia
Off T,Left Foot,Normal,Open Play,"[108.0, 52.0]",Kelechi Promise Iheanacho,0.0394029,Nigeria
Saved,Head,Normal,Open Play,"[106.0, 40.0]",Leon-Aderemi Balogun,0.0495308,Nigeria
Off T,Right Foot,Normal,Open Play,"[86.0, 29.0]",Oghenekaro Etebo,0.0155828,Nigeria
Blocked,Right Foot,Normal,Open Play,"[108.0, 49.0]",Victor Moses,0.101966,Nigeria
Saved,Right Foot,Normal,Open Play,"[111.0, 52.0]",Mateo Kovačić,0.134751,Croatia
Saved,Left Foot,Normal,Open Play,"[114.0, 56.0]",Kylian Mbappé Lottin,0.0409501,France
Saved,Right Foot,Normal,Free Kick,"[94.0, 28.0]",Paul Pogba,0.0517304,France
Saved,Right Foot,Half Volley,Open Play,"[95.0, 43.0]",Antoine Griezmann,0.0350809,France
Blocked,Head,Normal,Open Play,"[109.0, 31.0]",Antoine Griezmann,0.084594,France
Off T,Head,Normal,Open Play,"[110.0, 34.0]",Mathew Leckie,0.02711,Australia
Saved,Head,Normal,Open Play,"[105.0, 32.0]",Mathew Leckie,0.0211211,Australia
Blocked,Left Foot,Normal,Open Play,"[109.0, 26.0]",Lucas Hernández Pi,0.043396,France
Off T,Right Foot,Normal,Open Play,"[101.0, 21.0]",Aziz Eraltay Behich,0.0215547,Australia
Goal,Left Foot,Normal,Penalty,"[108.0, 40.0]",Antoine Griezmann,0.76,France
Blocked,Left Foot,Normal,Open Play,"[104.0, 37.0]",Antoine Griezmann,0.0909941,France
Off T,Right Foot,Normal,Open Play,"[104.0, 43.0]",Antoine Griezmann,0.0526873,France
Goal,Right Foot,Normal,Penalty,"[109.0, 41.0]",Mile Jedinak,0.76,Australia
Blocked,Left Foot,Normal,Open Play,"[86.0, 30.0]",Samuel Yves Umtiti,0.0109025,France
Off T,Right Foot,Normal,Open Play,"[95.0, 42.0]",Benjamin Pavard,0.0202881,France
Off T,Right Foot,Normal,Open Play,"[100.0, 31.0]",Lucas Hernández Pi,0.0427667,France
Blocked,Left Foot,Normal,Free Kick,"[100.0, 63.0]",Nabil Fekir,0.0324382,France
Blocked,Left Foot,Normal,Open Play,"[97.0, 47.0]",Josh Risdon,0.045015,Australia
Off T,Left Foot,Normal,Open Play,"[96.0, 53.0]",Gylfi Þór Sigurðsson,0.0150878,Iceland
Off T,Left Foot,Volley,Open Play,"[111.0, 43.0]",Nicolás Hernán Otamendi,0.112899,Argentina
Off T,Head,Diving Header,Open Play,"[105.0, 45.0]",Nicolás Alejandro Tagliafico,0.0166196,Argentina
Off T,Right Foot,Half Volley,Open Play,"[115.0, 57.0]",Alfreð Finnbogason,0.0510493,Iceland
Blocked,Left Foot,Normal,Open Play,"[100.0, 54.0]",Johann Berg Guðmunds­son,0.0286819,Iceland
